capture,M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
deepseek-v2-lite,14,128,512,bf16,N,T,203,-606603168,0.00976,0.00918,0.9410
deepseek-v2-lite,14,512,128,bf16,N,N,388,-606629849,0.00848,0.00864,1.0189
deepseek-v2-lite,16,128,512,bf16,N,T,203,-606623135,0.00858,0.00845,0.9851
deepseek-v2-lite,16,512,128,bf16,N,N,388,-606605224,0.01085,0.00883,0.8141
deepseek-v2-lite,2,128,512,bf16,N,T,203,-606623135,0.01069,0.01034,0.9671
deepseek-v2-lite,2,512,128,bf16,N,N,388,-606629872,0.01043,0.01002,0.9601
deepseek-v2-lite,14,102400,2048,bf16,N,T,212,-606603175,0.35770,0.48986,1.3695
deepseek-v2-lite,14,64,2048,bf16,N,T,212,-606623170,0.01254,0.01222,0.9745
deepseek-v2-lite,14,2048,10944,bf16,N,T,214,-606603212,0.05862,0.22208,3.7882
deepseek-v2-lite,14,21888,2048,bf16,N,T,212,-606623155,0.08077,0.11267,1.3950
deepseek-v2-lite,14,3072,2048,bf16,N,T,212,-606623131,0.01952,0.01914,0.9803
deepseek-v2-lite,16,2048,2816,bf16,N,T,212,-606623135,0.02051,0.01990,0.9703
deepseek-v2-lite,16,64,2048,bf16,N,T,212,-606623168,0.01322,0.01235,0.9346
deepseek-v2-lite,16,2048,10944,bf16,N,T,214,-606603212,0.06074,0.22314,3.6739
deepseek-v2-lite,16,2048,2048,bf16,N,T,212,-606603160,0.01853,0.01818,0.9810
deepseek-v2-lite,16,3072,2048,bf16,N,T,212,-606603171,0.01974,0.01939,0.9822
deepseek-v2-lite,16,102400,2048,bf16,N,T,212,-606623206,0.35671,0.50010,1.4020
deepseek-v2-lite,16,576,2048,bf16,N,T,212,-606623135,0.01258,0.01190,0.9465
deepseek-v2-lite,138,2048,2816,bf16,N,T,212,-606603213,0.04077,0.04390,1.0769
deepseek-v2-lite,138,5632,2048,bf16,N,T,212,-606623146,0.05555,0.12589,2.2661
deepseek-v2-lite,138,21888,2048,bf16,N,T,203,-606623196,0.15507,0.18749,1.2090
deepseek-v2-lite,14,5632,2048,bf16,N,T,212,-606623155,0.02435,0.02378,0.9763
deepseek-v2-lite,256,576,2048,bf16,N,T,212,-606603213,0.02179,0.02576,1.1821
deepseek-v2-lite,256,21888,2048,bf16,N,T,201,-606623138,0.22659,0.24173,1.0668
deepseek-v2-lite,16,5632,2048,bf16,N,T,212,-606603152,0.02403,0.02438,1.0146
deepseek-v2-lite,256,102400,2048,bf16,N,T,201,-606603232,0.96906,1.07895,1.1134
deepseek-v2-lite,20,2048,10944,bf16,N,T,214,-606623192,0.06128,0.22237,3.6287
deepseek-v2-lite,8192,2048,2816,bf16,N,T,201,-606623196,0.74551,0.81536,1.0937
deepseek-v2-lite,14,2048,2816,bf16,N,T,212,-606603190,0.01955,0.02208,1.1293
deepseek-v2-lite,20,5632,2048,bf16,N,T,212,-606623149,0.02896,0.02826,0.9757
deepseek-v2-lite,8192,3072,2048,bf16,N,T,201,-606603141,0.82989,0.83277,1.0035
deepseek-v2-lite,14,2048,2048,bf16,N,T,212,-606623217,0.01686,0.01642,0.9734
deepseek-v2-lite,8192,576,2048,bf16,N,T,201,-606603178,0.18694,0.22608,1.2093
deepseek-v2-lite,20,21888,2048,bf16,N,T,212,-606623131,0.09709,0.11987,1.2347
deepseek-v2-lite,20,2048,2816,bf16,N,T,212,-606623206,0.02096,0.02000,0.9542
deepseek-v2-lite,138,2048,10944,bf16,N,T,214,-606623193,0.09885,0.22759,2.3024
deepseek-v2-lite,8192,64,2048,bf16,N,T,212,-606603165,0.05926,0.07632,1.2878
deepseek-v2-lite,8192,2048,10944,bf16,N,T,201,-606623180,2.44689,2.60782,1.0658
deepseek-v2-lite,256,64,2048,bf16,N,T,212,-606623135,0.01213,0.01158,0.9551
deepseek-v2-lite,8192,5632,2048,bf16,N,T,201,-606623198,1.48183,1.51255,1.0207
deepseek-v2-lite,16,21888,2048,bf16,N,T,212,-606623155,0.08061,0.11750,1.4577
deepseek-v2-lite,256,2048,2048,bf16,N,T,212,-606623136,0.03722,0.03674,0.9871
deepseek-v2-lite,8192,2048,2048,bf16,N,T,201,-606623196,0.55898,0.58291,1.0428
deepseek-v2-lite,256,2048,10944,bf16,N,T,214,-606623187,0.11994,0.23011,1.9186
deepseek-v2-lite,138,64,2048,bf16,N,T,212,-606623206,0.01219,0.01206,0.9895
deepseek-v2-lite,138,2048,2048,bf16,N,T,212,-606623209,0.03101,0.03190,1.0289
deepseek-v2-lite,256,2048,2816,bf16,N,T,212,-606603214,0.04973,0.05088,1.0232
deepseek-v2-lite,14,576,2048,bf16,N,T,212,-606623155,0.01277,0.01174,0.9198
deepseek-v2-lite,8192,21888,2048,bf16,N,T,201,-606603141,5.40698,7.06225,1.3061
deepseek-v2-lite,20,576,2048,bf16,N,T,212,-606623135,0.01331,0.01238,0.9303
deepseek-v2-lite,138,3072,2048,bf16,N,T,212,-606623176,0.03891,0.03760,0.9663
deepseek-v2-lite,20,3072,2048,bf16,N,T,212,-606623155,0.01914,0.02736,1.4298
deepseek-v2-lite,256,3072,2048,bf16,N,T,212,-606603157,0.04080,0.04096,1.0039
deepseek-v2-lite,20,4096,512,bf16,N,T,203,-606603190,0.01098,0.00973,0.8863
deepseek-v2-lite,20,2048,2048,bf16,N,T,212,-606623149,0.01766,0.02518,1.4257
